Name,|V|,|E|,Randomized-1,Greedy-1,Semi-Greedy-1,Semi-Greedy-2,Local-1 Iterations,Local-1 Value,Local-2 Iterations,Local-2 Value,GRASP-1 Iterations,GRASP-1 Best Value,GRASP-2 Iterations,GRASP-2 Best Value,Known Best
g1,800,19176,9365,10956,11272,11271,66,11418,68,11432,2,11423,2,11436,
g2,800,19176,9552,11030,11322,11203,42,11429,73,11409,2,11460,2,11419,
g3,800,19176,9605,11012,11287,11295,37,11368,37,11377,2,11417,2,11431,
g4,800,19176,9631,11031,11335,11202,82,11498,59,11327,2,11441,2,11423,
g5,800,19176,9645,10990,11241,11329,47,11346,39,11437,2,11454,2,11470,
g6,800,19176,64,1515,1711,1776,69,1862,69,1930,2,1968,2,1971,
g7,800,19176,-120,1362,1631,1579,84,1809,76,1749,2,1785,2,1798,
g8,800,19176,6,1331,1609,1574,100,1824,66,1745,2,1792,2,1778,
g9,800,19176,-13,1507,1617,1566,66,1789,71,1734,2,1817,2,1824,
g10,800,19176,-48,1350,1600,1560,92,1787,43,1685,2,1829,2,1822,
g11,800,1600,42,434,488,476,4,494,5,484,2,500,2,500,
g12,800,1600,16,418,472,474,3,476,8,488,2,484,2,498,
g13,800,1600,-8,432,500,500,3,504,4,506,2,514,2,514,
g14,800,4694,2324,2890,2942,2947,18,2964,22,2975,2,2986,2,2972,
g15,800,4661,2351,2873,2960,2921,14,2976,28,2957,2,2970,2,2943,
g16,800,4672,2365,2878,2918,2918,25,2946,34,2967,2,2956,2,2951,
g17,800,4667,2329,2864,2899,2910,35,2944,22,2941,2,2964,2,2959,
g18,800,4694,30,780,834,841,46,892,17,865,2,885,2,877,
g19,800,4661,-47,681,750,776,22,779,28,817,2,825,2,812,
g20,800,4672,-10,698,803,774,30,841,24,806,2,847,2,830,
g21,800,4667,-70,704,771,787,34,828,19,808,2,804,2,803,
g22,2000,19990,10012,12346,12790,12823,91,12946,85,12964,2,12945,2,13012,
g23,2000,19990,10135,12291,12716,12813,115,12906,83,12963,2,13035,2,12935,
g24,2000,19990,9860,12367,12790,12807,92,12948,71,12964,2,12990,2,12968,
g25,2000,19990,10020,12408,12762,12772,133,12992,98,12950,2,13011,2,12979,
g26,2000,19990,9955,12355,12840,12779,71,12978,103,12964,2,12948,2,13014,
g27,2000,19990,-174,2316,2616,2646,121,2842,149,2931,2,2953,2,2892,
g28,2000,19990,-68,2329,2608,2626,105,2821,117,2848,2,2919,2,2947,
g29,2000,19990,43,2367,2808,2745,105,2992,99,2944,2,3006,2,3003,
g30,2000,19990,127,2401,2772,2781,125,2982,114,2996,2,2992,2,2969,
g31,2000,19990,-8,2290,2691,2712,117,2917,111,2908,2,2918,2,2879,
g32,2000,4000,42,1058,1170,1216,10,1188,7,1228,2,1232,2,1220,
g33,2000,4000,20,1000,1178,1184,14,1204,9,1200,2,1238,2,1216,
g34,2000,4000,-70,988,1178,1186,12,1200,13,1210,2,1200,2,1226,
g35,2000,11778,5956,7252,7405,7313,45,7459,94,7447,2,7439,2,7460,
g36,2000,11766,5931,7225,7376,7284,42,7426,89,7420,2,7442,2,7444,
g37,2000,11785,5925,7264,7408,7335,43,7469,86,7462,2,7453,2,7461,
g38,2000,11779,5866,7305,7397,7313,53,7469,83,7438,2,7478,2,7441,
g39,2000,11778,88,1861,2033,2042,57,2126,89,2166,2,2111,2,2136,
g40,2000,11766,-4,1834,1988,1998,68,2080,86,2135,2,2155,2,2151,
g41,2000,11785,5,1876,2011,2049,64,2121,64,2140,2,2173,2,2137,
g42,2000,11779,93,1989,2092,2100,79,2211,57,2181,2,2190,2,2224,
g43,1000,9990,5020,6188,6408,6408,35,6460,46,6471,2,6490,2,6489,
g44,1000,9990,5059,6157,6368,6390,46,6444,36,6461,2,6430,2,6486,
g45,1000,9990,5008,6179,6380,6366,47,6453,41,6437,2,6507,2,6498,
g46,1000,9990,5046,6150,6439,6392,43,6513,35,6451,2,6485,2,6493,
g47,1000,9990,5000,6220,6406,6371,53,6497,43,6455,2,6502,2,6478,
g48,3000,6000,3008,6000,6000,6000,1,6000,1,6000,2,6000,2,6000,
g49,3000,6000,3002,6000,6000,6000,1,6000,1,6000,2,6000,2,6000,
g50,3000,6000,2980,5880,5880,5868,1,5880,1,5868,2,5880,2,5870,
g51,1000,5909,3017,3626,3693,3637,33,3732,50,3717,2,3735,2,3723,
g52,1000,5916,2955,3650,3715,3658,25,3746,45,3720,2,3736,2,3734,
g53,1000,5914,2930,3632,3694,3672,22,3721,48,3739,2,3734,2,3734,
g54,1000,5916,2893,3633,3705,3666,24,3740,33,3720,2,3733,2,3741,
myin,5,7,26,50,50,50,1,50,1,50,2,50,2,50,
Problem,,,Constructive Algorithm,,,,Local Search,,,,GRASP,,,,Known best Solution or upper bound
Name,|V|,|E|,Randomized-1,Greedy-1,Semi-Greedy-1,Semi-Greedy-2,Local-1 Iterations,Local-1 Value,Local-2 Iterations,Local-2 Value,GRASP-1 Iterations,GRASP-1 Best Value,GRASP-2 Iterations,GRASP-2 Best Value,Known Best
g1,800,19176,9545,10956,11290,11256,62,11408,67,11394,1,11362,1,11361,
g2,800,19176,9481,11030,11289,11225,32,11361,49,11343,1,11387,1,11381,
g3,800,19176,9632,11012,11257,11297,57,11373,52,11417,1,11440,1,11369,
g4,800,19176,9598,11031,11218,11298,60,11383,45,11417,1,11371,1,11424,
g5,800,19176,9600,10990,11252,11254,64,11413,45,11352,1,11465,1,11355,
g6,800,19176,75,1515,1808,1763,63,1981,67,1908,1,1911,1,1991,
g7,800,19176,2,1362,1697,1588,43,1829,79,1762,1,1785,1,1804,
g8,800,19176,-20,1331,1622,1647,72,1794,51,1767,1,1748,1,1756,
g9,800,19176,-92,1507,1641,1594,53,1791,78,1832,1,1858,1,1822,
g10,800,19176,-71,1350,1586,1584,61,1742,54,1723,1,1776,1,1742,
g11,800,1600,26,434,474,478,6,484,6,488,1,488,1,492,
g12,800,1600,-6,418,470,472,7,482,7,484,1,460,1,490,
g13,800,1600,60,432,494,496,7,506,3,500,1,500,1,518,
g14,800,4694,2347,2890,2946,2942,24,2980,32,2979,1,2979,1,2975,
g15,800,4661,2368,2873,2922,2925,19,2948,25,2961,1,2944,1,2939,
g16,800,4672,2301,2878,2942,2918,20,2965,20,2941,1,2961,1,2956,
g17,800,4667,2300,2864,2901,2894,25,2935,34,2943,1,2970,1,2945,
g18,800,4694,54,780,851,860,34,898,16,887,1,904,1,870,
g19,800,4661,-47,681,751,762,32,796,35,813,1,816,1,781,
g20,800,4672,-25,698,798,788,25,833,31,829,1,834,1,836,
g21,800,4667,-28,704,746,795,40,805,17,819,1,815,1,825,
g22,2000,19990,10051,12346,12785,12804,65,12918,98,12978,1,12907,1,12937,
g23,2000,19990,10097,12291,12810,12764,69,12942,94,12937,1,12905,1,12976,
g24,2000,19990,10066,12367,12780,12802,86,12943,93,12961,1,12946,1,13026,
g25,2000,19990,9978,12408,12808,12792,76,12943,69,12919,1,12969,1,12907,
